iter	Logloss
0	0.6858577965
1	0.6775009491
2	0.668527797
3	0.6576501673
4	0.6471176355
5	0.6412793778
6	0.631851076
7	0.6255509589
8	0.6187148483
9	0.6129910739
10	0.606856288
11	0.6014914113
12	0.5955998666
13	0.5920191653
14	0.5879382358
15	0.5828173236
16	0.5759598249
17	0.5698339778
18	0.5636390602
19	0.5594182792
20	0.5550029431
21	0.5499225442
22	0.546202765
23	0.5403587025
24	0.5358223476
25	0.5303334523
26	0.5255308604
27	0.520781122
28	0.5165938025
29	0.5124687822
30	0.5066321613
31	0.5011272037
32	0.4964795896
33	0.4924243837
34	0.4891251884
35	0.4860414561
36	0.4825746674
37	0.4795768974
38	0.474498369
39	0.4719660466
40	0.4685591955
41	0.4636963961
42	0.460829302
43	0.4580171763
44	0.4551784148
45	0.4521505058
46	0.4483981143
47	0.4446574965
48	0.4419063696
49	0.4384258032
50	0.4353055962
51	0.4328485006
52	0.4304985986
53	0.4275903669
54	0.4242021933
55	0.4207606864
56	0.4183850057
57	0.4156891739
58	0.4120536582
59	0.4103260214
60	0.4080826601
61	0.4051996365
62	0.4032398113
63	0.400889473
64	0.3980752708
65	0.39557609
66	0.393491864
67	0.3913197955
68	0.3892754827
69	0.3870116291
70	0.3850899709
71	0.3823464486
72	0.3805596346
73	0.3788059973
74	0.3769569464
75	0.3738546071
76	0.3717121115
77	0.3699049726
78	0.3679256783
79	0.3664085519
80	0.36428698
81	0.3629862048
82	0.3598874768
83	0.3582812608
84	0.3566604822
85	0.3549717613
86	0.3536202771
87	0.3519515182
88	0.3506888972
89	0.349142841
90	0.34706081
91	0.3449452277
92	0.3438328577
93	0.3421334923
94	0.3405965275
95	0.3392088985
96	0.3378644982
97	0.3366467023
98	0.3352478824
99	0.3341431886
100	0.331888596
101	0.3301603335
102	0.3292525812
103	0.3282269484
104	0.3259119234
105	0.3245741776
106	0.3224967562
107	0.321311642
108	0.3198794954
109	0.3187557721
110	0.3168087647
111	0.3155687018
112	0.3140947398
113	0.3131239141
114	0.3120773206
115	0.31075052
116	0.3096432362
117	0.3081751426
118	0.3068905151
119	0.3059504146
120	0.3047562443
121	0.3036672861
122	0.3025910683
123	0.3012431748
124	0.3002263342
125	0.2992483191
126	0.2982393254
127	0.2972425989
128	0.2961167112
129	0.2941637686
130	0.2929408551
131	0.2918008568
