iter	Passed	Remaining
0	337	336707
1	591	295066
2	867	288459
3	1120	279037
4	1422	283120
5	1659	275001
6	1932	274102
7	2171	269318
8	2401	264485
9	2643	261657
10	2931	263561
11	3174	261341
12	3401	258268
13	3664	258111
14	3893	255683
15	4224	259826
16	4452	257446
17	4683	255499
18	4963	256282
19	5227	256170
20	5487	255824
21	5708	253748
22	5948	252667
23	6175	251145
24	6439	251137
25	6662	249574
26	6933	249878
27	7223	250768
28	7470	250116
29	7723	249732
30	7979	249433
31	8227	248890
32	8442	247391
33	8692	246969
34	8940	246514
35	9157	245227
36	9339	243070
37	9562	242080
38	9828	242195
39	10121	242906
40	10367	242506
41	10649	242912
42	10862	241745
43	11121	241647
44	11341	240690
45	11606	240708
46	11860	240492
47	12120	240389
48	12389	240448
49	12639	240159
50	12893	239913
51	13194	240550
52	13449	240321
53	13729	240515
54	13956	239800
55	14209	239537
56	14474	239461
57	14702	238787
58	14963	238660
59	15243	238809
60	15465	238068
61	15677	237186
62	15919	236769
63	16159	236331
64	16416	236149
65	16690	236202
66	16932	235791
67	17144	234987
68	17435	235253
69	17662	234654
70	17896	234169
71	18155	234003
72	18369	233268
73	18644	233303
74	18882	232884
75	19130	232583
76	19403	232587
77	19641	232170
78	19848	231395
79	20090	231042
80	20349	230880
81	20549	230053
82	20807	229879
83	21078	229860
84	21312	229418
85	21558	229120
86	21784	228613
87	22085	228890
88	22296	228226
89	22438	226880
90	22692	226670
91	22942	226427
92	23187	226139
93	23418	225714
94	23660	225401
95	23909	225143
96	24176	225064
97	24426	224825
98	24666	224489
99	24885	223971
100	25142	223795
101	25408	223696
102	25675	223598
103	25939	223481
104	26165	223025
105	26405	222702
106	26625	222211
107	26883	222034
108	27119	221680
109	27344	221244
110	27597	221031
111	27827	220632
112	28058	220243
113	28285	219836
114	28542	219652
115	28791	219407
116	29065	219354
117	29336	219279
118	29580	218991
119	29807	218585
120	30044	218256
121	30287	217972
122	30545	217792
123	30766	217352
124	30980	216864
125	31232	216645
126	31507	216585
127	31734	216192
128	31978	215917
129	32233	215715
130	32461	215337
131	32694	214993
132	32898	214458
133	33135	214145
134	33396	213985
135	33674	213929
136	33932	213752
137	34251	213946
138	34501	213712
139	34783	213668
140	35031	213419
141	35310	213353
142	35555	213083
143	35840	213051
144	36109	212920
145	36398	212905
146	36649	212664
147	36943	212676
148	37178	212342
149	37420	212051
150	37700	211971
151	37945	211693
152	38219	211581
153	38470	211339
154	38742	211210
155	39018	211101
156	39325	211153
157	39565	210847
158	39824	210644
159	40092	210484
160	40306	210043
161	40530	209656
162	40755	209276
163	41025	209131
164	41315	209081
165	41597	208991
166	41887	208934
167	42113	208561
168	42346	208226
169	42593	207958
170	42857	207771
171	43093	207447
172	43328	207123
173	43622	207079
174	43873	206833
175	44096	206449
176	44369	206304
177	44611	206013
178	44857	205743
179	45102	205466
180	45357	205235
181	45610	204995
182	45819	204561
183	46039	204175
184	46284	203901
185	46526	203616
186	46815	203533
187	47106	203459
188	47350	203182
189	47620	203013
190	47859	202711
191	48150	202631
192	48380	202295
193	48523	201595
194	48759	201288
195	49012	201053
196	49259	200787
197	49511	200546
198	49743	200222
199	50016	200066
200	50261	199797
201	50538	199652
202	50774	199347
203	51033	199132
204	51267	198816
205	51567	198760
206	51804	198457
207	52066	198253
208	52334	198069
209	52581	197806
210	52812	197482
211	53088	197329
212	53367	197182
213	53603	196879
214	53818	196500
215	54125	196455
216	54384	196236
217	54648	196033
218	54893	195762
219	55107	195382
220	55379	195206
221	55625	194938
222	55883	194716
223	56128	194445
224	56454	194452
225	56685	194134
226	56930	193864
227	57184	193624
228	57474	193504
229	57715	193221
230	57988	193043
231	58221	192732
232	58515	192623
233	58757	192343
234	59011	192100
235	59287	191931
236	59568	191775
237	59802	191470
238	60109	191396
239	60346	191097
240	60575	190775
241	60788	190403
242	61049	190181
243	61310	189960
244	61553	189686
245	61755	189282
246	62017	189065
247	62272	188826
248	62556	188674
249	62859	188577
250	63140	188414
251	63487	188447
252	63749	188226
253	63990	187942
254	64214	187606
255	64446	187297
256	64722	187115
257	64938	186759
258	65176	186469
259	65421	186198
260	65648	185879
261	65925	185697
262	66142	185351
263	66392	185093
264	66634	184816
265	66890	184577
266	67118	184261
267	67371	184013
268	67631	183788
269	67903	183589
270	68207	183480
271	68553	183482
272	68824	183278
273	69106	183106
274	69377	182905
275	69645	182694
276	69908	182468
277	70191	182294
278	70510	182215
279	70762	181960
280	71038	181767
281	71300	181538
282	71567	181321
283	71852	181148
284	72123	180942
285	72338	180593
286	72610	180388
287	72937	180318
288	73206	180102
289	73433	179785
290	73639	179417
291	73902	179188
292	74133	178881
293	74429	178733
294	74691	178499
295	74912	178171
296	75168	177923
297	75418	177664
298	75650	177361
299	75874	177040
300	76102	176730
301	76378	176529
302	76597	176199
303	76809	175853
304	77050	175574
305	77286	175283
306	77497	174937
307	77734	174649
308	77954	174325
309	78181	174015
310	78464	173832
311	78685	173511
312	78921	173223
313	79121	172857
314	79340	172534
315	79571	172237
316	79808	171953
317	80050	171680
318	80287	171398
319	80585	171243
320	80814	170944
321	81094	170752
322	81425	170666
323	81723	170509
324	82016	170341
325	82274	170101
326	82595	169990
327	82923	169891
328	83245	169780
329	83537	169607
330	83845	169463
331	84128	169270
332	84433	169121
333	84733	168959
334	85014	168760
335	85344	168656
336	85723	168649
337	86018	168473
338	86339	168349
339	86625	168154
340	86903	167946
341	87183	167739
342	87461	167528
343	87759	167354
344	87985	167044
345	88227	166764
346	88507	166556
347	88749	166278
348	89062	166130
349	89315	165871
350	89646	165755
351	89893	165485
352	90090	165123
353	90337	164853
354	90619	164645
355	90856	164358
356	91067	164022
357	91289	163708
358	91577	163513
359	91829	163252
360	92033	162906
361	92261	162604
362	92509	162338
363	92757	162071
364	93033	161852
365	93228	161494
366	93497	161264
367	93741	160991
368	94003	160748
369	94226	160439
370	94461	160151
371	94712	159891
372	94948	159604
373	95244	159420
374	95585	159308
375	95887	159132
376	96233	159027
377	96568	158903
378	96909	158788
379	97201	158591
380	97535	158462
381	97818	158250
382	98077	157998
383	98332	157741
384	98558	157438
385	98824	157198
386	99034	156868
387	99285	156604
388	99500	156284
389	99761	156037
390	100029	155800
391	100358	155658
392	100657	155468
393	100971	155301
394	101250	155079
395	101521	154846
396	101771	154579
397	102088	154416
398	102350	154167
399	102794	154191
400	103053	153937
401	103339	153723
402	103657	153557
403	103962	153370
404	104229	153127
405	104544	152953
406	104831	152739
407	105101	152500
408	105400	152301
409	105694	152097
410	105984	151885
411	106255	151645
412	106562	151458
413	106849	151241
414	107133	151020
415	107484	150892
416	107828	150753
417	108114	150532
418	108431	150354
419	108791	150236
420	109080	150018
421	109393	149832
422	109692	149628
423	109984	149412
424	110352	149301
425	110711	149174
426	111032	148997
427	111350	148814
428	111637	148590
429	111942	148389
430	112285	148237
431	112686	148161
432	112989	147955
433	113367	147847
434	113659	147626
435	114079	147570
436	114442	147439
437	114729	147210
438	115030	146997
439	115335	146790
440	115607	146540
441	115859	146265
442	116160	146053
443	116427	145796
444	116749	145608
445	117119	145480
446	117408	145250
447	117709	145034
448	117975	144776
449	118259	144539
450	118520	144274
451	118825	144062
452	119110	143826
453	119407	143605
454	119698	143375
455	119975	143129
456	120245	142873
457	120503	142605
458	120800	142381
459	121054	142107
460	121293	141816
461	121569	141567
462	121841	141315
463	122116	141065
464	122423	140853
465	122713	140620
466	122961	140338
467	123250	140105
468	123531	139862
469	123849	139660
470	124094	139375
471	124405	139165
472	124706	138943
473	124975	138686
474	125252	138437
475	125520	138178
476	125807	137939
477	126086	137692
478	126287	137360
479	126602	137153
480	126887	136912
481	127214	136715
482	127476	136450
483	127742	136188
484	128017	135936
485	128344	135738
486	128605	135471
487	128888	135227
488	129173	134985
489	129413	134695
490	129674	134428
491	129955	134182
492	130200	133898
493	130487	133657
494	130766	133408
495	131065	133179
496	131354	132940
497	131597	132654
498	131824	132352
499	132094	132094
500	132396	131868
501	132631	131574
502	132865	131280
503	133123	131010
504	133407	130765
505	133635	130466
506	133871	130174
507	134130	129906
508	134397	129644
509	134722	129439
510	135014	129201
511	135250	128910
512	135533	128664
513	135840	128440
514	136064	128137
515	136368	127911
516	136604	127620
517	136900	127386
518	137170	127127
519	137405	126835
520	137647	126551
521	137973	126343
522	138265	126104
523	138557	125865
524	138811	125591
525	139079	125330
526	139364	125084
527	139610	124803
528	139886	124549
529	140151	124285
530	140493	124089
531	140749	123817
532	141095	123623
533	141430	123420
534	141663	123128
535	141913	122850
536	142178	122586
537	142511	122379
538	142784	122121
539	143073	121877
540	143383	121650
541	143663	121397
542	143994	121188
543	144264	120927
544	144628	120745
545	144892	120478
546	145227	120270
547	145534	120039
548	145827	119796
549	146096	119533
550	146374	119277
551	146623	118999
552	146909	118749
553	147214	118515
554	147503	118268
555	147787	118017
556	148068	117763
557	148370	117526
558	148701	117311
559	148998	117070
560	149311	116841
561	149585	116580
562	149837	116303
563	150131	116059
564	150401	115795
565	150707	115560
566	151022	115331
567	151285	115061
568	151579	114816
569	151859	114560
570	152095	114271
571	152319	113973
572	152582	113704
573	152847	113437
574	153106	113165
575	153379	112904
576	153657	112646
577	153901	112364
578	154155	112088
579	154418	111820
580	154715	111576
581	154956	111291
582	155166	110985
583	155447	110729
584	155736	110479
585	156011	110219
586	156303	109971
587	156528	109676
588	156799	109413
589	157078	109155
