iter	Passed	Remaining
0	46	46660
1	93	46461
2	136	45363
3	181	45181
4	222	44363
5	269	44627
6	309	43876
7	349	43399
8	390	42957
9	428	42400
10	465	41884
11	504	41577
12	542	41211
13	581	40921
14	620	40753
15	649	39938
16	687	39747
17	724	39538
18	767	39639
19	805	39466
20	845	39407
21	883	39290
22	921	39144
23	958	38980
24	996	38865
25	1044	39141
26	1084	39099
27	1122	38972
28	1163	38967
29	1202	38885
30	1240	38772
31	1278	38664
32	1316	38564
33	1353	38468
34	1392	38385
35	1429	38290
36	1467	38192
37	1506	38133
38	1544	38061
39	1582	37969
40	1619	37881
41	1658	37826
42	1696	37754
43	1733	37669
44	1771	37596
45	1788	37100
46	1827	37053
47	1865	36994
48	1903	36938
49	1941	36881
50	1978	36814
51	2022	36869
52	2063	36861
53	2099	36788
54	2140	36771
55	2178	36715
56	2216	36665
57	2244	36449
58	2282	36399
59	2319	36340
60	2357	36285
61	2395	36245
62	2433	36199
63	2472	36163
64	2511	36122
65	2548	36068
66	2586	36016
67	2624	35967
68	2662	35917
69	2699	35869
70	2737	35818
71	2776	35780
72	2814	35737
73	2852	35690
74	2889	35640
75	2927	35597
76	2965	35552
77	3008	35557
78	3045	35507
79	3083	35464
80	3126	35470
81	3164	35428
82	3202	35386
83	3241	35343
84	3279	35307
85	3301	35093
86	3344	35095
87	3402	35262
88	3458	35397
89	3514	35534
90	3555	35519
91	3596	35496
92	3635	35460
93	3675	35426
94	3713	35380
95	3752	35332
96	3790	35285
97	3828	35236
98	3866	35189
99	3904	35138
100	3941	35084
101	3979	35033
102	4018	34995
103	4055	34942
104	4093	34892
105	4133	34864
106	4171	34817
107	4209	34769
108	4231	34591
109	4268	34539
110	4306	34494
111	4344	34442
112	4381	34394
113	4419	34349
114	4459	34316
115	4497	34275
116	4535	34230
117	4573	34184
118	4611	34142
119	4649	34095
120	4687	34050
121	4724	34003
122	4763	33967
123	4801	33921
124	4839	33876
125	4877	33829
126	4914	33784
127	4952	33739
128	4992	33711
129	5031	33670
130	5070	33636
131	5110	33608
132	5149	33569
133	5189	33537
134	5227	33494
135	5265	33448
136	5302	33403
137	5340	33360
138	5378	33314
139	5416	33273
140	5455	33237
141	5483	33135
142	5522	33094
143	5550	32997
144	5588	32954
145	5627	32917
146	5666	32878
147	5705	32844
148	5742	32797
149	5780	32756
150	5818	32712
151	5855	32668
152	5893	32626
153	5931	32582
154	5973	32565
155	6011	32526
156	6049	32481
157	6086	32436
158	6127	32412
159	6166	32372
160	6203	32329
161	6241	32287
162	6270	32196
163	6311	32174
164	6353	32153
165	6394	32126
166	6433	32090
167	6472	32052
168	6510	32011
169	6547	31968
170	6585	31925
171	6623	31884
172	6661	31843
173	6699	31802
174	6721	31684
175	6758	31642
176	6796	31602
177	6834	31562
178	6872	31519
179	6909	31475
180	6947	31438
181	6987	31404
182	7024	31361
183	7063	31324
184	7106	31306
185	7144	31264
186	7181	31224
187	7220	31185
188	7258	31144
189	7295	31102
190	7333	31060
191	7370	31017
192	7408	30976
193	7447	30940
194	7485	30902
195	7523	30862
196	7561	30820
197	7599	30782
198	7640	30754
199	7684	30738
200	7726	30712
201	7768	30689
202	7808	30656
203	7845	30613
204	7883	30574
205	7921	30534
206	7960	30496
207	7998	30456
208	8026	30379
209	8064	30339
210	8104	30306
211	8142	30266
212	8181	30228
213	8221	30196
214	8259	30155
215	8297	30115
216	8334	30073
217	8372	30033
218	8411	29996
219	8449	29957
220	8487	29918
221	8525	29878
222	8563	29838
223	8601	29798
224	8639	29758
225	8677	29717
226	8715	29677
227	8753	29637
228	8791	29597
229	8828	29557
230	8866	29516
231	8904	29475
232	8942	29437
233	8980	29399
234	9018	29357
235	9061	29335
236	9101	29300
237	9138	29258
238	9175	29216
239	9215	29182
240	9253	29143
241	9291	29103
242	9329	29063
